Output:

2018-03-23 08:38:39	Starting iteration: 1/19. Stock: Aker Solutions. Sample size: 125 
2018-03-23 08:43:19		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 132/1553. Distribution: Generalized Error Distribution. Model: gjrGARCH(0011). Iterasjon fullført!
2018-03-23 08:43:21		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 133/1553. Distribution: Generalized Error Distribution. Model: gjrGARCH(0011). Iterasjon fullført!
2018-03-23 08:43:23		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 135/1553. Distribution: Student Distribution. Model: sGARCH(1111). Iterasjon fullført!
2018-03-23 08:43:25		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 134/1553. Distribution: Generalized Error Distribution. Model: gjrGARCH(0011). Iterasjon fullført!
2018-03-23 08:43:28		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 136/1553. Distribution: Generalized Error Distribution. Model: sGARCH(1111). Iterasjon fullført!
2018-03-23 08:43:28		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 137/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:43:30		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 138/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:43:30		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 130/1553. Distribution: Generalized Error Distribution. Model: eGARCH(1111). Iterasjon fullført!
2018-03-23 08:43:32		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 139/1553. Distribution: Generalized Error Distribution. Model: gjrGARCH(0011). Iterasjon fullført!
2018-03-23 08:43:34		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 140/1553. Distribution: Generalized Error Distribution. Model: sGARCH(0011). Iterasjon fullført!
2018-03-23 08:43:35		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 144/1553. Distribution: Normal Distribution. Model: eGARCH(1111). Iterasjon fullført!
2018-03-23 08:43:36		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 145/1553. Distribution: Normal Distribution. Model: sGARCH(0011). Iterasjon fullført!
2018-03-23 08:43:37		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 142/1553. Distribution: Generalized Error Distribution. Model: sGARCH(0011). Iterasjon fullført!
